品編,品名,處方組成,註冊編號
1,一貫煎,生地黃（18克）﹑枸杞子（12克）﹑北沙參（9克）﹑麥門冬（9克）﹑當歸（9克）﹑川楝子（4.5克）,HKC-11468
2,二陳湯,法半夏（15克）﹑陳皮（15克）﹑茯苓（9克）﹑生薑（9克）﹑炙甘草（4.5克）﹑烏梅（3克）,HKNT-11466
3,九味羌活湯,"羌活（6克）﹑防風（6克）﹑蒼朮（6克）﹑細辛（3克）﹑川芎（3克）﹑白芷（3克）﹑生地（3克）﹑黃芩（3
克）﹑生甘草（3克）",HKNT-11467
4,十全大補湯,"黃芪（12克）﹑熟地黃（12克）﹑白朮（9克）﹑茯苓（9克）﹑生薑（9克）﹑當歸（9克）﹑白芍（9克）﹑黨參
（6克）﹑大棗（6克）﹑川芎（6克）﹑肉桂（3克）﹑炙甘草（3克）",HKC-11479
5,八正散,"瞿麥（9克）﹑萹蓄（9克）﹑滑石（9克）﹑車前子（9克）﹑川木通（9克）﹑山梔子（9克）﹑大黃（9克）﹑炙甘
草（9克）",HKC-11465
6,八珍湯,"黨參（9克）﹑白朮（9克）﹑茯苓（9克）﹑熟地黃（9克）﹑當歸（9克）﹑白芍（9克）﹑川芎（9克）﹑生薑（6
克）﹑炙甘草（4.5克）﹑大棗（3克）",HKNT-11464
7,川芎茶調散,"川芎（12克）﹑荊芥（12克）﹑薄荷葉（12克）﹑白芷（6克）﹑羌活（6克）﹑生甘草（6克）﹑防風（4.5克）﹑細
辛（3克）﹑茶葉（9克）",HKNT-11456
11,小青龍湯,"麻黃（9克）﹑桂枝（9克）﹑白芍（9克）﹑法半夏（9克）﹑乾薑（9克）﹑細辛（6克）﹑五味子（6克）﹑炙甘草
（6克）",HKNT-11472
12,小柴胡湯,柴胡（15克）﹑黃芩（9克）﹑法半夏（9克）﹑生薑（9克）﹑黨參（6克）﹑炙甘草（6克）﹑大棗（6克）,HKC-11471
13,丹梔逍遙散,"當歸（6克）﹑白芍（6克）﹑茯苓（6克）﹑白朮（6克）﹑柴胡（6克）﹑牡丹皮（3克）﹑山梔子（3克）﹑炙甘草
（3克）",HKC-11455
14,天王補心丹,"生地黃（12克）﹑酸棗仁（6克）﹑柏子仁（6克）﹑當歸（6克）﹑天門冬（6克）﹑麥門冬（6克）﹑黨參（3克）
﹑丹參（3克）﹑玄參（3克）﹑茯苓（3克）﹑五味子（3克）﹑遠志（3克）﹑桔梗（3克）﹑龍眼肉（3克）",HKC-11470
18,五苓散,澤瀉（15克）﹑豬苓（9克）﹑白朮（9克）﹑茯苓（9克）﹑桂枝（3克）,HKC-11453
19,五味消毒飲,金銀花（18克）﹑野菊花（9克）﹑蒲公英（9克）﹑地丁（9克）﹑天葵子（9克）,HKC-11454
20,止咳散,桔梗（9克）﹑荊芥（9克）﹑紫宛（9克）﹑百部（9克）﹑白前（9克）﹑陳皮（6克）﹑生甘草（3克）,HKNT-11463
21,六君子湯,"黨參（9克）﹑白朮（9克）﹑茯苓（9克）﹑生薑（9克）﹑炙甘草（6克）﹑法半夏（6克）﹑大棗（6克）﹑陳皮
（3克）",HKC-11452
22,六味地黃丸,熟地黃（24克）﹑山萸肉（12克）﹑山藥（12克）﹑澤瀉（9克）﹑牡丹皮（9克）﹑茯苓（9克）,HKC-11451
23,四君子湯,黨參（9克）﹑白朮（9克）﹑茯苓（9克）﹑炙甘草（6克）,HKC-11478
24,四物湯,熟地黃（12克）﹑當歸（9克）﹑白芍（9克）﹑川芎（6克）,HKC-11477
25,四逆散,柴胡（6克）﹑白芍（6克）﹑枳實（6克）﹑炙甘草（6克）,HKC-11476
27,玉屏風散,炙黃耆（18克）﹑白朮（18克）﹑防風（9克）,HKC-11474
28,甘麥大棗湯,小麥（30克）﹑大棗（12克）﹑炙甘草（9克）,HKC-11473
29,生脈散,石柱參（9克）﹑麥門冬（9克）﹑五味子（6克）,HKC-11423
30,左歸丸,"熟地黃（18克）﹑山藥（9克）﹑山茱萸（9克）﹑枸杞子（9克）﹑菟絲子（9克）﹑鹿角膠（9克）﹑龜板（9克）
﹑川牛膝（6克）",HKC-11460
31,右歸丸,"熟地黃（18克）﹑山藥（12克）﹑鹿角膠（12克）﹑杜仲（12克）﹑菟絲子（12克）﹑山茱萸（9克）﹑枸杞子（9
克）﹑當歸（9克）﹑熟附子（6克）﹑肉桂（3克）",HKC-11480
34,仙方活命飲,"金銀花（24克）﹑陳皮（9克）﹑白芷（3克）﹑浙貝母（3克）﹑防風（3克）﹑赤芍（3克）﹑當歸（3克）﹑生甘
草（3克）﹑皂角刺（3克）﹑栝蔞根（3克）﹑乳香（3克）﹑沒藥（3克）",HKNT-11462
35,平胃散,蒼朮（12克）﹑厚樸（9克）﹑陳皮（9克）﹑生薑（6克）﹑大棗（6克）﹑生甘草（3克）,HKC-11475
36,半夏瀉心湯,法半夏（12克）﹑黃芩（9克）﹑乾薑（9克）﹑黨參（9克）﹑炙甘草（9克）﹑大棗（6克）﹑黃連（3克）,HKC-11461
39,血府逐瘀湯,"桃仁（12克）﹑紅花（9克）﹑當歸（9克）﹑生地黃（9克）﹑川牛膝（9克）﹑赤芍（6克）﹑枳殼（6克）﹑桔梗
（4.5克）﹑川芎（4.5克）﹑柴胡（3克）﹑生甘草（3克）",HKC-11422
41,辛荑散,"辛荑花（6克）﹑細辛（6克）﹑藁本（6克）﹑升麻（6克）﹑川芎（6克）﹑木通（6克）﹑防風（6克）﹑羌活（6
克）﹑生甘草（6克）﹑白芷（6克）",HKNT-11459
42,杏蘇散,"紫蘇葉（9克）﹑杏仁（9克）﹑法半夏（9克）﹑茯苓（9克）﹑前胡（9克）﹑生薑（9克）﹑桔梗（6克）﹑枳殼
（6克）﹑陳皮（6克）﹑大棗（6克）﹑生甘草（3克）",HKC-11435
43,杞菊地黃丸,"熟地黃（24克）﹑山茱萸（12克）﹑山藥（12克）﹑澤瀉（9克）﹑牡丹皮（9克）﹑茯苓（9克）﹑枸杞子（9克）
﹑杭菊花（9克）",HKC-11434
44,完帶湯,"白朮（15克）﹑山藥（15克）﹑白芍（12克）﹑黨參（9克）﹑車前子（9克）﹑蒼朮（9克）﹑柴胡（4.5克）﹑黑荊
芥（4.5克）﹑陳皮（3克）﹑生甘草（3克）",HKC-11421
45,沙參麥冬湯,"北沙參（9克）﹑麥門冬（9克）﹑玉竹（9克）﹑桑葉（4.5克）﹑白扁豆（4.5克）﹑栝蔞根（4.5克）﹑生甘草（3
克）",HKC-11411
46,防風通聖散,"石膏（30克）﹑滑石（15克）﹑黃芩（9克）﹑桔梗（9克）﹑生甘草（9克）﹑防風（6克）﹑川芎（6克）﹑當歸
（6克）﹑白芍（6克）﹑大黃（6克）﹑薄荷葉（6克）﹑麻黃（6克）﹑連翹（6克）﹑元明粉（6克）﹑荊芥（6
克）﹑白朮（6克）﹑山梔子（6克）﹑生薑（6克）",HKC-11425
47,定喘湯,"白果（18克）﹑麻黃（9克）﹑法半夏（9克）﹑桑白皮（9克）﹑款冬花（9克）﹑紫蘇子（6克）﹑杏仁（4.5克）
﹑黃芩（4.5克）﹑生甘草（3克）",HKC-11458
48,炙甘草湯,"生地黃（30克）﹑炙甘草（12克）﹑生薑（9克）﹑桂枝（9克）﹑麥門冬（9克）﹑胡麻仁（9克）﹑大棗（9克）﹑
黨參（6克）﹑阿膠（6克）",HKC-11457
49,知柏地黃丸,"熟地黃（24克）﹑山茱萸（12克）﹑山藥（12克）﹑澤瀉（9克）﹑牡丹皮（9克）﹑茯苓（9克）﹑知母（9克）﹑
黃柏（9克）",HKC-11450
50,金匱腎氣丸,"乾地黃（24克）﹑山茱萸（12克）﹑山藥（12克）﹑澤瀉（9克）﹑牡丹皮（9克）﹑茯苓（9克）﹑肉桂（3克）﹑
熟附子（3克）",HKNT-11449
52,羌活勝濕湯,羌活（6克）﹑防風（6克）﹑蔓京子（3克）﹑川芎（3克）﹑炙甘草（3克）﹑藁本（3克）﹑獨活（3克）,HKNT-11441
53,香砂六君湯,"白朮（6克）﹑茯苓（6克）﹑黨參（3克）﹑生甘草（3克）﹑陳皮（3克）﹑法半夏（3克）﹑砂仁（3克）﹑木香
（3克）﹑生薑（3克）",HKC-11447
55,保和丸,山楂（18克）﹑神曲（9克）﹑法半夏（9克）﹑茯苓（9克）﹑陳皮（9克）﹑連翹（6克）﹑萊菔子（6克）,HKC-11448
57,茵陳蒿湯,茵陳蒿（18克）﹑山梔子（12克）﹑大黃（9克）,HKC-11439
